t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
286.525,0.1,0.0,86612.58632701839,85983.2221723898,272.2036884686668,3.293902439024356,1.1660368605426167e8,-2.5509200853749885
288.35,0.1,0.0,86609.83832829878,86000.06254877709,272.73057813977556,6.943902439024454,1.166711178037266e8,-2.5532269862499604
290.175,0.1,0.0,86607.09032957918,86016.90292516437,273.2574678108843,10.593902439024438,1.1673854955319153e8,-2.5555338871249305
292.0,0.1,0.0,86604.34233085957,86033.74330155166,273.784357481993,14.243902439024422,1.1680598130265644e8,-2.5578407879999006
293.825,0.1,0.0,86602.18973752776,86050.82976119837,274.3791815687591,17.760365853658502,1.16872481442748e8,2.9682644293884426
295.65,0.1,0.0,86623.85335970775,86077.7595512223,277.6913822818187,15.935365853658514,1.1690171720790458e8,2.9645754170563983
297.475,0.1,0.0,86645.51698188773,86104.68934124624,281.00358299487834,14.110365853658468,1.1693095297306117e8,2.960886404724352
299.3,0.1,0.0,86667.18060406772,86131.61913127018,284.3157837079379,12.285365853658478,1.1696018873821776e8,2.9571973923923043
301.125,0.1,0.0,86688.8442262477,86158.54892129412,287.62798442099745,10.46036585365849,1.1698942450337434e8,2.953508380060258
302.95,0.1,0.0,86710.51171698874,86190.02553338131,291.89058913735215,8.6353658536585,1.1701866548928033e8,19.973827071940928
304.775,0.1,0.0,86732.20177433589,86248.02527417096,301.69721720626217,6.810365853658518,1.1704793692955776e8,19.965881901969745
306.6,0.1,0.0,86753.89183168302,86306.0250149606,311.5038452751725,4.985365853658478,1.1707720836983518e8,19.957936731998558
308.425,0.1,0.0,86775.58188903017,86364.02475575023,321.3104733440826,3.1603658536584955,1.1710647981011261e8,19.949991562027378
310.25,0.1,0.0,86797.27194637731,86422.02449653987,331.1171014129926,1.3353658536585122,1.1713575125039004e8,19.94204639205619
312.075,0.1,0.0,86817.3083927856,86468.58118490898,337.8030487804877,0.0,1.1716047681244607e8,-3.434948882404491
313.9,0.1,0.0,86832.83499117887,86483.92954849481,335.9780487804877,0.0,1.1717280452480738e8,-3.4370513979641935
315.725,0.1,0.0,86848.36158957212,86499.27791208065,334.15304878048767,0.0,1.1718513223716868e8,-3.4391539135238993
317.55,0.1,0.0,86863.88818796536,86514.6262756665,332.3280487804877,0.0,1.1719745994952999e8,-3.4412564290836034
319.375,0.1,0.0,86879.41478635861,86529.97463925232,330.5030487804877,0.0,1.172097876618913e8,-3.4433589446433057
321.2,0.1,0.0,86894.39979260205,86544.80489011844,328.6780487804877,0.0,1.1722079192224336e8,-4.1728775238276645
323.025,0.1,0.0,86908.53856111139,86558.82558985999,326.8530487804877,0.0,1.1722972828883098e8,-4.174798167627876
324.85,0.1,0.0,86922.67732962074,86572.84628960153,325.02804878048767,0.0,1.1723866465541859e8,-4.1767188114280875
326.675,0.1,0.0,86936.81609813008,86586.86698934308,323.2030487804877,0.0,1.1724760102200621e8,-4.178639455228299
328.5,0.1,0.0,86950.95486663943,86600.88768908461,321.3780487804877,0.0,1.1725653738859384e8,-4.180560099028511
330.325,0.1,0.0,86964.19414700594,86613.99959302957,319.5530487804877,0.0,1.1726320105544804e8,-5.154583977862528
332.15,0.1,0.0,86976.57677199834,86626.24597716822,317.7280487804877,0.0,1.1726770024636567e8,-5.156261564730838
333.975,0.1,0.0,86988.95939699074,86638.49236130688,315.90304878048767,0.0,1.1727219943728329e8,-5.157939151599147
335.8,0.1,0.0,87001.34202198313,86650.73874544555,314.0780487804877,0.0,1.1727669862820092e8,-5.159616738467457
337.625,0.1,0.0,87013.72464697553,86662.9851295842,312.2530487804877,0.0,1.1728119781911854e8,-5.161294325335766
339.45,0.1,0.0,87032.84556268649,86673.69456510605,310.4280487804877,1.157317073170706,1.1736818761356665e8,-6.4907886271220425
341.275,0.1,0.0,87055.853953812,86683.51729950284,308.60304878048777,2.9823170731707003,1.1750276814082082e8,-6.492134207176398
343.1,0.1,0.0,87078.86234493752,86693.34003389961,306.7780487804877,4.8073170731707515,1.1763734866807497e8,-6.49347978723075
344.925,0.1,0.0,87101.87073606302,86703.16276829639,304.95304878048773,6.632317073170746,1.1777192919532913e8,-6.494825367285103
346.75,0.1,0.0,87124.87912718853,86712.98550269318,303.1280487804878,8.45731707317074,1.1790650972258328e8,-6.496170947339457
348.575,0.1,0.0,87146.97076445894,86795.2290294134,312.00312021593544,7.522560975609768,1.1796164125123717e8,45.97603582119299
350.4,0.1,0.0,87168.76667467931,86900.83410204443,324.32982759830156,5.697560975609786,1.1799114407066515e8,45.96156937288737
352.225,0.1,0.0,87190.56258489969,87006.43917467547,336.6565349806681,3.872560975609746,1.1802064689009315e8,45.94710292458174
354.05,0.1,0.0,87212.35849512006,87112.0442473065,348.98324236303426,2.0475609756097626,1.1805014970952114e8,45.93263647627612
355.875,0.1,0.0,87234.15440534044,87217.64931993753,361.30994974540044,0.22256097560977928,1.1807965252894913e8,45.918170027970504
357.7,0.1,0.0,87249.68567351106,87246.12604381758,361.6043905050749,0.0,1.1809285505475096e8,-2.2175771456199307
359.525,0.1,0.0,87264.3468525081,87263.89049703779,360.2276831227086,0.0,1.181037936508825e8,-2.220010632362426
361.35,0.1,0.0,87279.00803150515,87281.65495025799,358.8509757403423,0.0,1.1811473224701405e8,-2.222444119104919
363.175,0.1,0.0,87293.66921050218,87299.41940347818,357.47426835797603,0.0,1.1812567084314558e8,-2.2248776058474107
0.0,0.1,0.25,107964.49974541756,108019.41839708156,356.0975609756097,0.0,1.1813660943927711e8,-10.066437879327541
1.825,0.1,0.25,107971.84277709466,108028.05200255106,354.27256097560974,0.0,1.1814034720359924e8,-10.067620565008294
3.65,0.1,0.25,107979.18580877176,108036.68560802056,352.44756097560975,0.0,1.1814408496792138e8,-10.068803250689047
5.475,0.1,0.25,107986.52884044885,108045.31921349006,350.62256097560976,0.0,1.181478227322435e8,-10.0699859363698
7.3,0.1,0.25,107993.87187212595,108053.95281895956,348.79756097560977,0.0,1.1815156049656563e8,-10.071168622050553
9.125,0.1,0.25,108000.52873197457,108062.00346936956,346.9725633006098,0.0,1.1815462886269224e8,-12.691576375706829
10.95,0.1,0.25,108002.24515465813,108065.85684335124,345.14758236560976,0.0,1.1815287756181109e8,-12.692104235156373
12.775,0.1,0.25,108003.96157734169,108069.71021733292,343.32260143060967,0.0,1.1815112626092994e8,-12.69263209460592
14.6,0.1,0.25,108005.67800002525,108073.5635913146,341.4976204956096,0.0,1.181493749600488e8,-12.693159954055464
16.425,0.1,0.25,108007.3944227088,108077.41696529627,339.6726395606096,0.0,1.1814762365916765e8,-12.693687813505008
18.25,0.1,0.25,108007.39445617015,108083.76134199738,337.8578392993581,0.0,1.1814514209468108e8,-7.098331618708473
20.075,0.1,0.25,108002.07368304259,108097.82782712874,336.0745991267271,0.0,1.181403967130177e8,-7.100258534479893
21.9,0.1,0.25,107996.75290991503,108111.89431226009,334.29135895409615,0.0,1.1813565133135433e8,-7.10218545025131
23.725,0.1,0.25,107991.43213678748,108125.96079739145,332.50811878146516,0.0,1.1813090594969097e8,-7.104112366022729
25.55,0.1,0.25,107986.11136365992,108140.0272825228,330.72487860883416,0.0,1.181261605680276e8,-7.106039281794148
27.375,0.1,0.25,107980.52341090627,108149.12913838455,329.33651014341797,0.0,1.181183367584845e8,-14.542895245752316
29.2,0.1,0.25,107974.47234680071,108149.62563684565,328.6325859705074,0.0,1.181051770072832e8,-14.542963259240139
31.025,0.1,0.25,107968.42128269517,108150.12213530675,327.9286617975968,0.0,1.1809201725608191e8,-14.54303127272796
32.85,0.1,0.25,107962.37021858963,108150.61863376785,327.22473762468627,0.0,1.180788575048806e8,-14.543099286215782
34.675,0.1,0.25,107956.31915448407,108151.11513222895,326.52081345177567,0.0,1.180656977536793e8,-14.543167299703605
36.5,0.1,0.25,107948.71465963927,108142.60893903025,326.16101337578294,0.0,1.1804822914258337e8,-24.654614617124473
38.325,0.1,0.25,107939.47906251826,108124.64991958876,326.1625436015539,0.0,1.1802623622859807e8,-24.65215447747495
40.15,0.1,0.25,107930.24346539725,108106.69090014725,326.16407382732496,0.0,1.1800424331461276e8,-24.64969433782543
41.975,0.1,0.25,107921.00786827624,108088.73188070576,326.16560405309593,0.0,1.1798225040062746e8,-24.647234198175912
43.8,0.1,0.25,107911.77227115523,108070.77286126427,326.16713427886697,0.0,1.1796025748664217e8,-24.644774058526394
45.625,0.1,0.25,107895.49332277279,108052.86223684988,325.4695547544126,0.0,1.1793100424524713e8,-24.59883131850439
47.45,0.1,0.25,107874.70662958303,108034.98258525282,324.3245449898141,0.0,1.1789710439430983e8,-24.59638205116233
49.275,0.1,0.25,107853.91993639327,108017.10293365575,323.17953522521566,0.0,1.1786320454337256e8,-24.593932783820264
